image,energy [eV],energy [hartree],energy [kcal/mol],Delta E vs. reactant [kcal/mol]
0,-20036.249896903704,-736.3182304807435,-462045.9407475479,0.0
1,-20036.26774315433,-736.318886318026,-462046.35229101044,-0.4115434625418857
2,-20036.26300402139,-736.3187121581908,-462046.2430042353,-0.30225668742787093
3,-20036.279240800734,-736.3193088485243,-462046.61743248533,-0.6766849374398589
4,-20036.292401589308,-736.3197924983392,-462046.92092685023,-0.9801793023361824
5,-20036.288864605318,-736.3196625166407,-462046.83936223097,-0.8986146830720827
6,-20036.281258410734,-736.3193829942868,-462046.66395958076,-0.7232120328699239
7,-20036.274149373414,-736.319121742116,-462046.50002162566,-0.5592740777647123
8,-20036.26244409662,-736.3186915813453,-462046.23009209015,-0.2893445422523655
9,-20036.249941538867,-736.3182321210546,-462045.9417768571,-0.0010293091763742268
10,-20036.23580868449,-736.3177127484985,-462045.6158661687,0.3248813792015426
11,-20036.18715729722,-736.315924843897,-462044.4939408525,1.4468066953704692
12,-20036.086609498754,-736.3122297823248,-462042.175258346,3.765489201876335
13,-20036.029654768176,-736.3101367356393,-462040.8618537815,5.078893766389228
14,-20036.11663486921,-736.3133331937794,-462042.86765840143,3.073089146462735
15,-20036.311021409154,-736.3204767637517,-462047.3503092058,-1.4095616579288617
16,-20036.43366120299,-736.324983690769,-462050.1784441716,-4.237696623720694
17,-20036.43313401774,-736.3249643170782,-462050.1662870161,-4.225539468228817
18,-20036.401926987055,-736.323817480433,-462049.446637285,-3.5058897371054627
19,-20036.411798087396,-736.3241802364963,-462049.6742697944,-3.733522246533539
20,-20036.41751673416,-736.3243903927824,-462049.8061446481,-3.8653971002204344
21,-20036.214836957435,-736.3169420521339,-462045.13224765693,0.8084998909616843
