# Iteration 0
Image 0:
-0.020990 -0.006966 -0.041682
-0.575332 -0.158213 -0.157041
-0.049530 -0.027463 0.026396
0.634881 0.134245 0.125477
0.013193 0.002890 -0.107206
-0.234513 0.076137 0.081389
-0.160424 -0.257576 0.055501
0.049620 -0.270980 0.034462
0.275685 -0.090766 -0.060519
0.183400 0.196971 -0.070260
0.022123 0.301887 -0.057068
-0.135779 0.098721 -0.022529
-0.049095 -0.140307 -0.089793
0.086184 0.058857 -0.113794
0.030891 -0.021244 0.125243
-0.145092 0.064561 0.021634
-0.048522 -0.160902 -0.028563
0.042901 0.035805 -0.037614
-0.063392 -0.059398 0.095454
-0.011512 0.198930 0.166972
-0.086532 -0.093921 0.021911
0.031103 -0.153303 0.008705
0.146715 -0.049483 -0.035552
0.107973 0.105435 -0.036493
-0.003154 0.095529 -0.023009
-0.058735 -0.029761 0.001896
-0.127341 0.037552 0.102098
0.043953 -0.128781 -0.095715
0.019216 0.092384 -0.083763
-0.027542 0.030199 -0.089994
0.119869 -0.018221 0.061656
0.051041 -0.067724 0.045179
-0.138512 0.036755 0.098936
-0.064254 -0.011395 -0.099224
-0.000849 -0.126413 0.025327
-0.054639 0.121194 0.011928
0.009732 0.000145 0.130434
0.024926 0.139058 0.040830
0.112910 -0.009203 -0.068495
-0.034170 -0.078186 -0.077644
-0.130206 0.041806 0.026637
0.030436 0.126132 -0.118642
0.033808 0.106128 0.091090
0.102292 0.001383 -0.061168
0.007976 -0.107726 -0.042028
-0.100811 -0.030096 0.113896
0.140095 -0.004679 0.104745

Image 1:
0.009584 -0.016245 -0.004972
-0.670675 -0.206373 -0.143604
-0.076230 -0.027548 -0.042619
0.729325 0.109391 0.089381
-0.115029 -0.818522 -0.590799
-0.290349 0.057202 0.133876
-0.174145 -0.284350 0.057133
0.107831 -0.347372 0.040536
0.220058 -0.039409 -0.054982
0.249823 0.162106 -0.081285
0.056955 0.413729 -0.106285
-0.163550 0.119210 -0.030089
-0.052404 -0.145745 -0.095582
0.088668 0.065992 -0.123939
0.060010 -0.035996 0.174657
-0.156891 0.072481 0.021024
-0.046783 -0.161682 -0.019962
0.057790 0.040606 -0.032730
-0.051971 -0.066675 0.102234
0.085784 1.043522 0.635727
-0.077239 -0.116639 0.026006
0.015555 -0.171412 0.021268
0.152387 -0.064001 -0.034625
0.088041 0.134427 -0.039030
0.002748 0.133702 -0.034567
-0.045237 -0.101544 -0.029082
-0.233913 0.079335 0.181783
0.053673 -0.116836 -0.087374
0.058591 0.159664 -0.133217
-0.077870 0.000652 -0.087043
0.195034 -0.004524 0.080070
0.018254 -0.108050 0.027785
-0.120061 0.057695 0.102746
-0.068084 -0.007853 -0.098572
-0.012352 -0.105383 0.022004
-0.039557 0.128316 0.003520
0.022547 -0.007673 0.125699
0.026032 0.116869 0.059402
0.129896 -0.023149 -0.065990
-0.034931 -0.078270 -0.081349
-0.132409 0.045820 0.019473
0.049096 0.130571 -0.106843
0.011813 0.102548 0.077520
0.104555 -0.002146 -0.069236
0.005913 -0.095673 -0.030254
-0.105201 -0.032246 0.121147
0.144919 0.011476 0.101040

Image 2:
0.026671 -0.018840 0.017628
-0.790227 -0.251070 -0.140089
-0.085408 -0.027339 -0.087023
0.852204 0.086970 0.079366
-0.219784 -1.386495 -0.969409
-0.337197 0.069217 0.165439
-0.170375 -0.303628 0.059189
0.126245 -0.367645 0.048872
0.208356 -0.023430 -0.054779
0.269267 0.151153 -0.085536
0.081284 0.450152 -0.141192
-0.177853 0.129346 -0.033132
-0.055051 -0.149323 -0.097465
0.089596 0.070388 -0.126614
0.075464 -0.046773 0.194356
-0.161806 0.075850 0.021538
-0.050075 -0.163269 -0.011442
0.070046 0.045960 -0.027766
-0.046203 -0.077344 0.105174
0.181039 1.619182 0.984989
-0.076599 -0.125326 0.031064
0.012516 -0.180921 0.030113
0.155902 -0.068578 -0.034050
0.082076 0.146643 -0.043911
-0.000492 0.151461 -0.042720
-0.038695 -0.141483 -0.054553
-0.290391 0.113549 0.234671
0.060122 -0.091891 -0.075997
0.086708 0.204799 -0.152923
-0.107968 -0.025232 -0.082983
0.222383 0.010756 0.092200
-0.001262 -0.137707 0.013968
-0.104745 0.073278 0.106151
-0.068104 -0.005751 -0.096428
-0.017295 -0.094252 0.020096
-0.031502 0.127597 0.001569
0.027001 -0.011288 0.119273
0.024325 0.096374 0.068165
0.134334 -0.033640 -0.064207
-0.034035 -0.072356 -0.082683
-0.131600 0.049254 0.016669
0.063218 0.131975 -0.099087
0.000011 0.097531 0.068261
0.106023 -0.006183 -0.075597
0.003137 -0.084894 -0.022022
-0.107018 -0.030735 0.124477
0.145757 0.023958 0.098378

Image 3:
0.033387 -0.016637 0.027776
-0.923395 -0.292099 -0.142635
-0.082004 -0.028494 -0.110799
0.991265 0.066370 0.084554
-0.300761 -1.736331 -1.243385
-0.374214 0.099775 0.178230
